Matthew1:1 アブラハムの子であるダビデの子、イエス・キリストの系図。 
Mark6:53 彼らは海を渡り、ゲネサレの地に着いて舟をつないだ。 
Mark6:54 そして舟からあがると、人々はすぐイエスと知って、 
Mark6:55 その地方をあまねく駆けめぐり、イエスがおられると聞けば、どこへでも病人を床にのせて運びはじめた。 
Mark6:56 そして、村でも町でも部落でも、イエスがはいって行かれる所では、病人たちをその広場におき、せめてその上着のふさにでも、さわらせてやっていただきたいと、お願いした。そしてさわった者は皆いやされた。 
Mark7:1 さて、パリサイ人と、ある律法学者たちとが、エルサレムからきて、イエスのもとに集まった。 
Mark7:2 そして弟子たちのうちに、不浄な手、すなわち洗わない手で、パンを食べている者があるのを見た。 
Mark7:3 もともと、パリサイ人をはじめユダヤ人はみな、昔の人の言伝えをかたく守って、念入りに手を洗ってからでないと、食事をしない。 
Mark7:4 また市場から帰ったときには、身を清めてからでないと、食事をせず、なおそのほかにも、杯、鉢、銅器を洗うことなど、昔から受けついでかたく守っている事が、たくさんあった。 
Mark7:5 そこで、パリサイ人と律法学者たちとは、イエスに尋ねた、「なぜ、あなたの弟子たちは、昔の人の言伝えに従って歩まないで、不浄な手でパンを食べるのですか」。 
Mark7:6 イエスは言われた、「イザヤは、あなたがた偽善者について、こう書いているが、それは適切な預言である、『この民は、口さきではわたしを敬うが、その心はわたしから遠く離れている。 
Mark7:7 人間のいましめを教として教え、無意味にわたしを拝んでいる』。 
Mark7:8 あなたがたは、神のいましめをさしおいて、人間の言伝えを固執している」。 
Mark7:9 また、言われた、「あなたがたは、自分たちの言伝えを守るために、よくも神のいましめを捨てたものだ。 
Mark7:10 モーセは言ったではないか、『父と母とを敬え』、また『父または母をののしる者は、必ず死に定められる』と。 
Mark7:11 それだのに、あなたがたは、もし人が父または母にむかって、あなたに差上げるはずのこのものはコルバン、すなわち、供え物ですと言えば、それでよいとして、 
Mark7:12 その人は父母に対して、もう何もしないで済むのだと言っている。 
Mark7:13 こうしてあなたがたは、自分たちが受けついだ言伝えによって、神の言を無にしている。また、このような事をしばしばおこなっている」。 
Mark7:14 それから、イエスは再び群衆を呼び寄せて言われた、「あなたがたはみんな、わたしの言うことを聞いて悟るがよい。 
Mark7:15 すべて外から人の中にはいって、人をけがしうるものはない。かえって、人の中から出てくるものが、人をけがすのである。 
Mark7:16 〔聞く耳のある者は聞くがよい〕」。 
Mark7:17 イエスが群衆を離れて家にはいられると、弟子たちはこの譬について尋ねた。 
Mark7:18 すると、言われた、「あなたがたも、そんなに鈍いのか。すべて、外から人の中にはいって来るものは、人を汚し得ないことが、わからないのか。 
Mark7:19 それは人の心の中にはいるのではなく、腹の中にはいり、そして、外に出て行くだけである」。イエスはこのように、どんな食物でもきよいものとされた。 
Mark7:20 さらに言われた、「人から出て来るもの、それが人をけがすのである。 
Mark7:21 すなわち内部から、人の心の中から、悪い思いが出て来る。不品行、盗み、殺人、 
Mark7:22 姦淫、貪欲、邪悪、欺き、好色、妬み、誹り、高慢、愚痴。 
Mark7:23 これらの悪はすべて内部から出てきて、人をけがすのである」。 
Mark7:24 さて、イエスは、そこを立ち去って、ツロの地方に行かれた。そして、だれにも知れないように、家の中にはいられたが、隠れていることができなかった。 
Mark7:25 そして、けがれた霊につかれた幼い娘をもつ女が、イエスのことをすぐ聞きつけてきて、その足もとにひれ伏した。 
Mark7:26 この女はギリシヤ人で、スロ・フェニキヤの生れであった。そして、娘から悪霊を追い出してくださいとお願いした。 
Mark7:27 イエスは女に言われた、「まず子供たちに十分食べさすべきである。子供たちのパンを取って小犬に投げてやるのは、よろしくない」。 
Mark7:28 すると女は答えて言った、「主よ、お言葉どおりです。でも、食卓の下にいる小犬も、子供たちのパンくずは、いただきます」。 
Mark7:29 そこでイエスは言われた、「その言葉で、じゅうぶんである。お帰りなさい。悪霊は娘から出てしまった」。 
Mark7:30 そこで、女が家に帰ってみると、その子は床の上に寝ており、悪霊は出てしまっていた。 
Mark7:31 それから、イエスはまたツロの地方を去り、シドンを経てデカポリス地方を通りぬけ、ガリラヤの海べにこられた。 
Mark7:32 すると人々は、耳が聞えず口のきけない人を、みもとに連れてきて、手を置いてやっていただきたいとお願いした。 
Mark7:33 そこで、イエスは彼ひとりを群衆の中から連れ出し、その両耳に指をさし入れ、それから、つばきでその舌を潤し、 
Mark7:34 天を仰いでため息をつき、その人に「エパタ」と言われた。これは「開けよ」という意味である。 
Mark7:35 すると彼の耳が開け、その舌のもつれもすぐ解けて、はっきりと話すようになった。 
Mark7:36 イエスは、この事をだれにも言ってはならぬと、人々に口止めをされたが、口止めをすればするほど、かえって、ますます言いひろめた。 
Mark7:37 彼らは、ひとかたならず驚いて言った、「このかたのなさった事は、何もかも、すばらしい。耳の聞えない者を聞えるようにしてやり、口のきけない者をきけるようにしておやりになった」。 
Mark8:1 そのころ、また大ぜいの群衆が集まっていたが、何も食べるものがなかったので、イエスは弟子たちを呼び寄せて言われた、 
Mark8:2 「この群衆がかわいそうである。もう三日間もわたしと一緒にいるのに、何も食べるものがない。 
Mark8:3 もし、彼らを空腹のまま家に帰らせるなら、途中で弱り切ってしまうであろう。それに、なかには遠くからきている者もある」。 
Mark8:4 弟子たちは答えた、「こんな荒野で、どこからパンを手に入れて、これらの人々にじゅうぶん食べさせることができましょうか」。 
Mark8:5 イエスが弟子たちに、「パンはいくつあるか」と尋ねられると、「七つあります」と答えた。 
Mark8:6 そこでイエスは群衆に地にすわるように命じられた。そして七つのパンを取り、感謝してこれをさき、人々に配るように弟子たちに渡されると、弟子たちはそれを群衆に配った。 
Mark8:7 また小さい魚が少しばかりあったので、祝福して、それをも人々に配るようにと言われた。 
Mark8:8 彼らは食べて満腹した。そして残ったパンくずを集めると、七かごになった。 
Mark8:9 人々の数はおよそ四千人であった。それからイエスは彼らを解散させ、 
Mark8:10 すぐ弟子たちと共に舟に乗って、ダルマヌタの地方へ行かれた。 
Mark8:11 パリサイ人たちが出てきて、イエスを試みようとして議論をしかけ、天からのしるしを求めた。 
Mark8:12 イエスは、心の中で深く嘆息して言われた、「なぜ、今の時代はしるしを求めるのだろう。よく言い聞かせておくが、しるしは今の時代には決して与えられない」。 
Mark8:13 そして、イエスは彼らをあとに残し、また舟に乗って向こう岸へ行かれた。 
Mark8:14 弟子たちはパンを持って来るのを忘れていたので、舟の中にはパン一つしか持ち合わせがなかった。 
Mark8:15 そのとき、イエスは彼らを戒めて、「パリサイ人のパン種とヘロデのパン種とを、よくよく警戒せよ」と言われた。 
Mark8:16 弟子たちは、これを自分たちがパンを持っていないためであろうと、互に論じ合った。 
Mark8:17 イエスはそれと知って、彼らに言われた、「なぜ、パンがないからだと論じ合っているのか。まだわからないのか、悟らないのか。あなたがたの心は鈍くなっているのか。 
Mark8:18 目があっても見えないのか。耳があっても聞えないのか。また思い出さないのか。 
Mark8:19 五つのパンをさいて五千人に分けたとき、拾い集めたパンくずは、幾つのかごになったか」。弟子たちは答えた、「十二かごです」。 
Mark8:20 「七つのパンを四千人に分けたときには、パンくずを幾つのかごに拾い集めたか」。「七かごです」と答えた。 
Mark8:21 そこでイエスは彼らに言われた、「まだ悟らないのか」。 
Mark8:22 そのうちに、彼らはベツサイダに着いた。すると人々が、ひとりの盲人を連れてきて、さわってやっていただきたいとお願いした。 
Mark8:23 イエスはこの盲人の手をとって、村の外に連れ出し、その両方の目につばきをつけ、両手を彼に当てて、「何か見えるか」と尋ねられた。 
Mark8:24 すると彼は顔を上げて言った、「人が見えます。木のように見えます。歩いているようです」。 
Mark8:25 それから、イエスが再び目の上に両手を当てられると、盲人は見つめているうちに、なおってきて、すべてのものがはっきりと見えだした。 
Mark8:26 そこでイエスは、「村にはいってはいけない」と言って、彼を家に帰された。 
Mark8:27 さて、イエスは弟子たちとピリポ・カイザリヤの村々へ出かけられたが、その途中で、弟子たちに尋ねて言われた、「人々は、わたしをだれと言っているか」。 
Mark8:28 彼らは答えて言った、「バプテスマのヨハネだと、言っています。また、エリヤだと言い、また、預言者のひとりだと言っている者もあります」。 
Mark8:29 そこでイエスは彼らに尋ねられた、「それでは、あなたがたはわたしをだれと言うか」。ペテロが答えて言った、「あなたこそキリストです」。 
Mark8:30 するとイエスは、自分のことをだれにも言ってはいけないと、彼らを戒められた。 
Mark8:31 それから、人の子は必ず多くの苦しみを受け、長老、祭司長、律法学者たちに捨てられ、また殺され、そして三日の後によみがえるべきことを、彼らに教えはじめ、 
Mark8:32 しかもあからさまに、この事を話された。すると、ペテロはイエスをわきへ引き寄せて、いさめはじめたので、 
Mark8:33 イエスは振り返って、弟子たちを見ながら、ペテロをしかって言われた、「サタンよ、引きさがれ。あなたは神のことを思わないで、人のことを思っている」。 
Mark8:34 それから群衆を弟子たちと一緒に呼び寄せて、彼らに言われた、「だれでもわたしについてきたいと思うなら、自分を捨て、自分の十字架を負うて、わたしに従ってきなさい。 
Mark8:35 自分の命を救おうと思う者はそれを失い、わたしのため、また福音のために、自分の命を失う者は、それを救うであろう。 
Mark8:36 人が全世界をもうけても、自分の命を損したら、なんの得になろうか。 
Mark8:37 また、人はどんな代価を払って、その命を買いもどすことができようか。 
Mark8:38 邪悪で罪深いこの時代にあって、わたしとわたしの言葉とを恥じる者に対しては、人の子もまた、父の栄光のうちに聖なる御使たちと共に来るときに、その者を恥じるであろう」。 
Mark9:1 また、彼らに言われた、「よく聞いておくがよい。神の国が力をもって来るのを見るまでは、決して死を味わわない者が、ここに立っている者の中にいる」。 
Mark9:2 六日の後、イエスは、ただペテロ、ヤコブ、ヨハネだけを連れて、高い山に登られた。ところが、彼らの目の前でイエスの姿が変り、 
Mark9:3 その衣は真白く輝き、どんな布さらしでも、それほどに白くすることはできないくらいになった。 
Mark9:4 すると、エリヤがモーセと共に彼らに現れて、イエスと語り合っていた。 
Mark9:5 ペテロはイエスにむかって言った、「先生、わたしたちがここにいるのは、すばらしいことです。それで、わたしたちは小屋を三つ建てましょう。一つはあなたのために、一つはモーセのために、一つはエリヤのために」。 
Mark9:6 そう言ったのは、みんなの者が非常に恐れていたので、ペテロは何を言ってよいか、わからなかったからである。 
Mark9:7 すると、雲がわき起って彼らをおおった。そして、その雲の中から声があった、「これはわたしの愛する子である。これに聞け」。 
Mark9:8 彼らは急いで見まわしたが、もはやだれも見えず、ただイエスだけが、自分たちと一緒におられた。 
Mark9:9 一同が山を下って来るとき、イエスは「人の子が死人の中からよみがえるまでは、いま見たことをだれにも話してはならない」と、彼らに命じられた。 
Mark9:10 彼らはこの言葉を心にとめ、死人の中からよみがえるとはどういうことかと、互に論じ合った。 
Mark9:11 そしてイエスに尋ねた、「なぜ、律法学者たちは、エリヤが先に来るはずだと言っているのですか」。 
Mark9:12 イエスは言われた、「確かに、エリヤが先にきて、万事を元どおりに改める。しかし、人の子について、彼が多くの苦しみを受け、かつ恥ずかしめられると、書いてあるのはなぜか。 
Mark9:13 しかしあなたがたに言っておく、エリヤはすでにきたのだ。そして彼について書いてあるように、人々は自分かってに彼をあしらった」。 
Mark9:14 さて、彼らがほかの弟子たちの所にきて見ると、大ぜいの群衆が弟子たちを取り囲み、そして律法学者たちが彼らと論じ合っていた。 
Mark9:15 群衆はみな、すぐイエスを見つけて、非常に驚き、駆け寄ってきて、あいさつをした。 
Mark9:16 イエスが彼らに、「あなたがたは彼らと何を論じているのか」と尋ねられると、 
Mark9:17 群衆のひとりが答えた、「先生、口をきけなくする霊につかれているわたしのむすこを、こちらに連れて参りました。 
Mark9:18 霊がこのむすこにとりつきますと、どこででも彼を引き倒し、それから彼はあわを吹き、歯をくいしばり、からだをこわばらせてしまいます。それでお弟子たちに、この霊を追い出してくださるように願いましたが、できませんでした」。 
Mark9:19 イエスは答えて言われた、「ああ、なんという不信仰な時代であろう。いつまで、わたしはあなたがたと一緒におられようか。いつまで、あなたがたに我慢ができようか。その子をわたしの所に連れてきなさい」。 
Mark9:20 そこで人々は、その子をみもとに連れてきた。霊がイエスを見るや否や、その子をひきつけさせたので、子は地に倒れ、あわを吹きながらころげまわった。 
Mark9:21 そこで、イエスが父親に「いつごろから、こんなになったのか」と尋ねられると、父親は答えた、「幼い時からです。 
Mark9:22 霊はたびたび、この子を火の中、水の中に投げ入れて、殺そうとしました。しかしできますれば、わたしどもをあわれんでお助けください」。 
Mark9:23 イエスは彼に言われた、「もしできれば、と言うのか。信ずる者には、どんな事でもできる」。 
Mark9:24 その子の父親はすぐ叫んで言った、「信じます。不信仰なわたしを、お助けください」。 
Mark9:25 イエスは群衆が駆け寄って来るのをごらんになって、けがれた霊をしかって言われた、「言うことも聞くこともさせない霊よ、わたしがおまえに命じる。この子から出て行け。二度と、はいって来るな」。 
Mark9:26 すると霊は叫び声をあげ、激しく引きつけさせて出て行った。その子は死人のようになったので、多くの人は、死んだのだと言った。 
Mark9:27 しかし、イエスが手を取って起されると、その子は立ち上がった。 
Mark9:28 家にはいられたとき、弟子たちはひそかにお尋ねした、「わたしたちは、どうして霊を追い出せなかったのですか」。 
Mark9:29 すると、イエスは言われた、「このたぐいは、祈によらなければ、どうしても追い出すことはできない」。 
Mark9:30 それから彼らはそこを立ち去り、ガリラヤをとおって行ったが、イエスは人に気づかれるのを好まれなかった。 
Mark9:31 それは、イエスが弟子たちに教えて、「人の子は人々の手にわたされ、彼らに殺され、殺されてから三日の後によみがえるであろう」と言っておられたからである。 
Mark9:32 しかし、彼らはイエスの言われたことを悟らず、また尋ねるのを恐れていた。 
Mark9:33 それから彼らはカペナウムにきた。そして家におられるとき、イエスは弟子たちに尋ねられた、「あなたがたは途中で何を論じていたのか」。 
Mark9:34 彼らは黙っていた。それは途中で、だれが一ばん偉いかと、互に論じ合っていたからである。 
Mark9:35 そこで、イエスはすわって十二弟子を呼び、そして言われた、「だれでも一ばん先になろうと思うならば、一ばんあとになり、みんなに仕える者とならねばならない」。 
Mark9:36 そして、ひとりの幼な子をとりあげて、彼らのまん中に立たせ、それを抱いて言われた。 
Mark9:37 「だれでも、このような幼な子のひとりを、わたしの名のゆえに受けいれる者は、わたしを受けいれるのである。そして、わたしを受けいれる者は、わたしを受けいれるのではなく、わたしをおつかわしになったかたを受けいれるのである」。 
Mark9:38 ヨハネがイエスに言った、「先生、わたしたちについてこない者が、あなたの名を使って悪霊を追い出しているのを見ましたが、その人はわたしたちについてこなかったので、やめさせました」。 
Mark9:39 イエスは言われた、「やめさせないがよい。だれでもわたしの名で力あるわざを行いながら、すぐそのあとで、わたしをそしることはできない。 
Mark9:40 わたしたちに反対しない者は、わたしたちの味方である。 
Mark9:41 だれでも、キリストについている者だというので、あなたがたに水一杯でも飲ませてくれるものは、よく言っておくが、決してその報いからもれることはないであろう。 
Mark9:42 また、わたしを信じるこれらの小さい者のひとりをつまずかせる者は、大きなひきうすを首にかけられて海に投げ込まれた方が、はるかによい。 
Mark9:43 もし、あなたの片手が罪を犯させるなら、それを切り捨てなさい。両手がそろったままで地獄の消えない火の中に落ち込むよりは、片手になって命に入る方がよい。 
Mark9:44 〔地獄では、うじがつきず、火も消えることがない。〕 
Mark9:45 もし、あなたの片足が罪を犯させるなら、それを切り捨てなさい。両足がそろったままで地獄に投げ入れられるよりは、片足で命に入る方がよい。 
Mark9:46 〔地獄では、うじがつきず、火も消えることがない。〕 
Mark9:47 もし、あなたの片目が罪を犯させるなら、それを抜き出しなさい。両眼がそろったままで地獄に投げ入れられるよりは、片目になって神の国に入る方がよい。 
Mark9:48 地獄では、うじがつきず、火も消えることがない。 
Mark9:49 人はすべて火で塩づけられねばならない。 
Mark9:50 塩はよいものである。しかし、もしその塩の味がぬけたら、何によってその味が取りもどされようか。あなたがた自身の内に塩を持ちなさい。そして、互に和らぎなさい」。 
Mark10:1 それから、イエスはそこを去って、ユダヤの地方とヨルダンの向こう側へ行かれたが、群衆がまた寄り集まったので、いつものように、また教えておられた。 
Mark10:2 そのとき、パリサイ人たちが近づいてきて、イエスを試みようとして質問した、「夫はその妻を出しても差しつかえないでしょうか」。 
Mark10:3 イエスは答えて言われた、「モーセはあなたがたになんと命じたか」。 
Mark10:4 彼らは言った、「モーセは、離縁状を書いて妻を出すことを許しました」。 
Mark10:5 そこでイエスは言われた、「モーセはあなたがたの心が、かたくななので、あなたがたのためにこの定めを書いたのである。 
Mark10:6 しかし、天地創造の初めから、『神は人を男と女とに造られた。 
Mark10:7 それゆえに、人はその父母を離れ、 
Mark10:8 ふたりの者は一体となるべきである』。彼らはもはや、ふたりではなく一体である。 
Mark10:9 だから、神が合わせられたものを、人は離してはならない」。 
Mark10:10 家にはいってから、弟子たちはまたこのことについて尋ねた。 
Mark10:11 そこで、イエスは言われた、「だれでも、自分の妻を出して他の女をめとる者は、その妻に対して姦淫を行うのである。 
Mark10:12 また妻が、その夫と別れて他の男にとつぐならば、姦淫を行うのである」。 
Mark10:13 イエスにさわっていただくために、人々が幼な子らをみもとに連れてきた。ところが、弟子たちは彼らをたしなめた。 
Mark10:14 それを見てイエスは憤り、彼らに言われた、「幼な子らをわたしの所に来るままにしておきなさい。止めてはならない。神の国はこのような者の国である。 
Mark10:15 よく聞いておくがよい。だれでも幼な子のように神の国を受けいれる者でなければ、そこにはいることは決してできない」。 
Mark10:16 そして彼らを抱き、手をその上において祝福された。 
Mark10:17 イエスが道に出て行かれると、ひとりの人が走り寄り、みまえにひざまずいて尋ねた、「よき師よ、永遠の生命を受けるために、何をしたらよいでしょうか」。 
Mark10:18 イエスは言われた、「なぜわたしをよき者と言うのか。神ひとりのほかによい者はいない。 
Mark10:19 いましめはあなたの知っているとおりである。『殺すな、姦淫するな、盗むな、偽証を立てるな。欺き取るな。父と母とを敬え』」。 
Mark10:20 すると、彼は言った、「先生、それらの事はみな、小さい時から守っております」。 
Mark10:21 イエスは彼に目をとめ、いつくしんで言われた、「あなたに足りないことが一つある。帰って、持っているものをみな売り払って、貧しい人々に施しなさい。そうすれば、天に宝を持つようになろう。そして、わたしに従ってきなさい」。 
Mark10:22 すると、彼はこの言葉を聞いて、顔を曇らせ、悲しみながら立ち去った。たくさんの資産を持っていたからである。 
Mark10:23 それから、イエスは見まわして、弟子たちに言われた、「財産のある者が神の国にはいるのは、なんとむずかしいことであろう」。 
Mark10:24 弟子たちはこの言葉に驚き怪しんだ。イエスは更に言われた、「子たちよ、神の国にはいるのは、なんとむずかしいことであろう。 
Mark10:25 富んでいる者が神の国にはいるよりは、らくだが針の穴を通る方が、もっとやさしい」。 
Mark10:26 すると彼らはますます驚いて、互に言った、「それでは、だれが救われることができるのだろう」。 
Mark10:27 イエスは彼らを見つめて言われた、「人にはできないが、神にはできる。神はなんでもできるからである」。 
Mark10:28 ペテロがイエスに言い出した、「ごらんなさい、わたしたちはいっさいを捨てて、あなたに従って参りました」。 
Mark10:29 イエスは言われた、「よく聞いておくがよい。だれでもわたしのために、また福音のために、家、兄弟、姉妹、母、父、子、もしくは畑を捨てた者は、 
Mark10:30 必ずその百倍を受ける。すなわち、今この時代では家、兄弟、姉妹、母、子および畑を迫害と共に受け、また、きたるべき世では永遠の生命を受ける。 
Mark10:31 しかし、多くの先の者はあとになり、あとの者は先になるであろう」。 
Mark10:32 さて、一同はエルサレムへ上る途上にあったが、イエスが先頭に立って行かれたので、彼らは驚き怪しみ、従う者たちは恐れた。するとイエスはまた十二弟子を呼び寄せて、自分の身に起ろうとすることについて語りはじめられた、 
Mark10:33 「見よ、わたしたちはエルサレムへ上って行くが、人の子は祭司長、律法学者たちの手に引きわたされる。そして彼らは死刑を宣告した上、彼を異邦人に引きわたすであろう。 
Mark10:34 また彼をあざけり、つばきをかけ、むち打ち、ついに殺してしまう。そして彼は三日の後によみがえるであろう」。 
Mark10:35 さて、ゼベダイの子ヤコブとヨハネとがイエスのもとにきて言った、「先生、わたしたちがお頼みすることは、なんでもかなえてくださるようにお願いします」。 
Mark10:36 イエスは彼らに「何をしてほしいと、願うのか」と言われた。 
Mark10:37 すると彼らは言った、「栄光をお受けになるとき、ひとりをあなたの右に、ひとりを左にすわるようにしてください」。 
Mark10:38 イエスは言われた、「あなたがたは自分が何を求めているのか、わかっていない。あなたがたは、わたしが飲む杯を飲み、わたしが受けるバプテスマを受けることができるか」。 
Mark10:39 彼らは「できます」と答えた。するとイエスは言われた、「あなたがたは、わたしが飲む杯を飲み、わたしが受けるバプテスマを受けるであろう。 
Mark10:40 しかし、わたしの右、左にすわらせることは、わたしのすることではなく、ただ備えられている人々だけに許されることである」。 
Mark10:41 十人の者はこれを聞いて、ヤコブとヨハネとのことで憤慨し出した。 
Mark10:42 そこで、イエスは彼らを呼び寄せて言われた、「あなたがたの知っているとおり、異邦人の支配者と見られている人々は、その民を治め、また偉い人たちは、その民の上に権力をふるっている。 
Mark10:43 しかし、あなたがたの間では、そうであってはならない。かえって、あなたがたの間で偉くなりたいと思う者は、仕える人となり、 
Mark10:44 あなたがたの間でかしらになりたいと思う者は、すべての人の僕とならねばならない。 
Mark10:45 人の子がきたのも、仕えられるためではなく、仕えるためであり、また多くの人のあがないとして、自分の命を与えるためである」。 
Mark10:46 それから、彼らはエリコにきた。そしてイエスが弟子たちや大ぜいの群衆と共にエリコから出かけられたとき、テマイの子、バルテマイという盲人のこじきが、道ばたにすわっていた。 
Mark10:47 ところが、ナザレのイエスだと聞いて、彼は「ダビデの子イエスよ、わたしをあわれんでください」と叫び出した。 
Mark10:48 多くの人々は彼をしかって黙らせようとしたが、彼はますます激しく叫びつづけた、「ダビデの子イエスよ、わたしをあわれんでください」。 
Mark10:49 イエスは立ちどまって、「彼を呼べ」と命じられた。そこで、人々はその盲人を呼んで言った、「喜べ、立て、おまえを呼んでおられる」。 
Mark10:50 そこで彼は上着を脱ぎ捨て、踊りあがってイエスのもとにきた。 
Mark10:51 イエスは彼にむかって言われた、「わたしに何をしてほしいのか」。その盲人は言った、「先生、見えるようになることです」。 
Mark10:52 そこでイエスは言われた、「行け、あなたの信仰があなたを救った」。すると彼は、たちまち見えるようになり、イエスに従って行った。 
Mark11:1 さて、彼らがエルサレムに近づき、オリブの山に沿ったベテパゲ、ベタニヤの附近にきた時、イエスはふたりの弟子をつかわして言われた、 
Mark11:2 「むこうの村へ行きなさい。そこにはいるとすぐ、まだだれも乗ったことのないろばの子が、つないであるのを見るであろう。それを解いて引いてきなさい。 
Mark11:3 もし、だれかがあなたがたに、なぜそんな事をするのかと言ったなら、主がお入り用なのです。またすぐ、ここへ返してくださいますと、言いなさい」。 
Mark11:4 そこで、彼らは出かけて行き、そして表通りの戸口に、ろばの子がつないであるのを見たので、それを解いた。 
Mark11:5 すると、そこに立っていた人々が言った、「そのろばの子を解いて、どうするのか」。 
Mark11:6 弟子たちは、イエスが言われたとおり彼らに話したので、ゆるしてくれた。 
Mark11:7 そこで、弟子たちは、そのろばの子をイエスのところに引いてきて、自分たちの上着をそれに投げかけると、イエスはその上にお乗りになった。 
Mark11:8 すると多くの人々は自分たちの上着を道に敷き、また他の人々は葉のついた枝を野原から切ってきて敷いた。 
Mark11:9 そして、前に行く者も、あとに従う者も共に叫びつづけた、「ホサナ、主の御名によってきたる者に、祝福あれ。 
Mark11:10 今きたる、われらの父ダビデの国に、祝福あれ。いと高き所に、ホサナ」。 
Mark11:11 こうしてイエスはエルサレムに着き、宮にはいられた。そして、すべてのものを見まわった後、もはや時もおそくなっていたので、十二弟子と共にベタニヤに出て行かれた。 
Mark11:12 翌日、彼らがベタニヤから出かけてきたとき、イエスは空腹をおぼえられた。 
Mark11:13 そして、葉の茂ったいちじくの木を遠くからごらんになって、その木に何かありはしないかと近寄られたが、葉のほかは何も見当らなかった。いちじくの季節でなかったからである。 
Mark11:14 そこで、イエスはその木にむかって、「今から後いつまでも、おまえの実を食べる者がないように」と言われた。弟子たちはこれを聞いていた。 
Mark11:15 それから、彼らはエルサレムにきた。イエスは宮に入り、宮の庭で売り買いしていた人々を追い出しはじめ、両替人の台や、はとを売る者の腰掛をくつがえし、 
Mark11:16 また器ものを持って宮の庭を通り抜けるのをお許しにならなかった。 
Mark11:17 そして、彼らに教えて言われた、「『わたしの家は、すべての国民の祈の家ととなえらるべきである』と書いてあるではないか。それだのに、あなたがたはそれを強盗の巣にしてしまった」。 
Mark11:18 祭司長、律法学者たちはこれを聞いて、どうかしてイエスを殺そうと計った。彼らは、群衆がみなその教に感動していたので、イエスを恐れていたからである。 
Mark11:19 夕方になると、イエスと弟子たちとは、いつものように都の外に出て行った。 
Mark11:20 朝はやく道をとおっていると、彼らは先のいちじくが根元から枯れているのを見た。 
Mark11:21 そこで、ペテロは思い出してイエスに言った、「先生、ごらんなさい。あなたがのろわれたいちじくが、枯れています」。 
Mark11:22 イエスは答えて言われた、「神を信じなさい。 
Mark11:23 よく聞いておくがよい。だれでもこの山に、動き出して、海の中にはいれと言い、その言ったことは必ず成ると、心に疑わないで信じるなら、そのとおりに成るであろう。 
Mark11:24 そこで、あなたがたに言うが、なんでも祈り求めることは、すでにかなえられたと信じなさい。そうすれば、そのとおりになるであろう。 
Mark11:25 また立って祈るとき、だれかに対して、何か恨み事があるならば、ゆるしてやりなさい。そうすれば、天にいますあなたがたの父も、あなたがたのあやまちを、ゆるしてくださるであろう。 
Mark11:26 〔もしゆるさないならば、天にいますあなたがたの父も、あなたがたのあやまちを、ゆるしてくださらないであろう〕」。 
Mark11:27 彼らはまたエルサレムにきた。そして、イエスが宮の内を歩いておられると、祭司長、律法学者、長老たちが、みもとにきて言った、 
Mark11:28 「何の権威によってこれらの事をするのですか。だれが、そうする権威を授けたのですか」。 
Mark11:29 そこで、イエスは彼らに言われた、「一つだけ尋ねよう。それに答えてほしい。そうしたら、何の権威によって、わたしがこれらの事をするのか、あなたがたに言おう。 
Mark11:30 ヨハネのバプテスマは天からであったか、人からであったか、答えなさい」。 
Mark11:31 すると、彼らは互に論じて言った、「もし天からだと言えば、では、なぜ彼を信じなかったのか、とイエスは言うだろう。 
Mark11:32 しかし、人からだと言えば……」。彼らは群衆を恐れていた。人々が皆、ヨハネを預言者だとほんとうに思っていたからである。 
Mark11:33 それで彼らは「わたしたちにはわかりません」と答えた。するとイエスは言われた、「わたしも何の権威によってこれらの事をするのか、あなたがたに言うまい」。 
Mark12:1 そこでイエスは譬で彼らに語り出された、「ある人がぶどう園を造り、垣をめぐらし、また酒ぶねの穴を掘り、やぐらを立て、それを農夫たちに貸して、旅に出かけた。 
Mark12:2 季節になったので、農夫たちのところへ、ひとりの僕を送って、ぶどう園の収穫の分け前を取り立てさせようとした。 
Mark12:3 すると、彼らはその僕をつかまえて、袋だだきにし、から手で帰らせた。 
Mark12:4 また他の僕を送ったが、その頭をなぐって侮辱した。 
Mark12:5 そこでまた他の者を送ったが、今度はそれを殺してしまった。そのほか、なお大ぜいの者を送ったが、彼らを打ったり、殺したりした。 
Mark12:6 ここに、もうひとりの者がいた。それは彼の愛子であった。自分の子は敬ってくれるだろうと思って、最後に彼をつかわした。 
Mark12:7 すると、農夫たちは『あれはあと取りだ。さあ、これを殺してしまおう。そうしたら、その財産はわれわれのものになるのだ』と話し合い、 
Mark12:8 彼をつかまえて殺し、ぶどう園の外に投げ捨てた。 
Mark12:9 このぶどう園の主人は、どうするだろうか。彼は出てきて、農夫たちを殺し、ぶどう園を他の人々に与えるであろう。 
Mark12:10 あなたがたは、この聖書の句を読んだことがないのか。『家造りらの捨てた石が 隅のかしら石になった。 
Mark12:11 これは主がなされたことで、わたしたちの目には不思議に見える』」。 
Mark12:12 彼らはいまの譬が、自分たちに当てて語られたことを悟ったので、イエスを捕えようとしたが、群衆を恐れた。そしてイエスをそこに残して立ち去った。 
Mark12:13 さて、人々はパリサイ人やヘロデ党の者を数人、イエスのもとにつかわして、その言葉じりを捕えようとした。 
